cost,lml,init_kernel,left_data,cv_config,model_config,time
7.1140974392303065,-319859718.01705676,RBF(length_scale=1),1710,"{'outer': 5, 'kernels': 1, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': RBF(length_scale=1)}",2020-10-18 23:05:20.662090
6.547862583087485,-369198727.75814265,RBF(length_scale=1),1710,"{'outer': 5, 'kernels': 1, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': RBF(length_scale=1)}",2020-10-18 23:05:24.068942
5.802827661153877,-447091697.20987177,RBF(length_scale=1),1710,"{'outer': 5, 'kernels': 1, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': RBF(length_scale=1)}",2020-10-18 23:05:27.502616
5.619624005315729,-489713924.8056052,RBF(length_scale=1),1710,"{'outer': 5, 'kernels': 1, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': RBF(length_scale=1)}",2020-10-18 23:05:30.989416
7.372038284824125,-457548962.71587914,RBF(length_scale=1),1710,"{'outer': 5, 'kernels': 1, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': RBF(length_scale=1)}",2020-10-18 23:05:34.036850
7.1140974392303065,-319859718.01705676,RBF(length_scale=1),1710,"{'outer': 5, 'kernels': 6, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': RBF(length_scale=1)}",2020-10-18 23:07:03.976006
0.05473901866362233,1282.1282768933365,1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),1710,"{'outer': 5, 'kernels': 6, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1)}",2020-10-18 23:07:39.496398
0.05434151888649743,1315.554732085966,"1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1)",1710,"{'outer': 5, 'kernels': 6, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': 1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1)}",2020-10-18 23:08:36.747592
0.05434832890340652,1305.0681791012325,"1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=1)",1710,"{'outer': 5, 'kernels': 6, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=1)}",2020-10-18 23:09:27.763341
0.0543063816989559,1318.8183624303038,"1**2 + 1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1)",1710,"{'outer': 5, 'kernels': 6, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': 1**2 + 1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1)}",2020-10-18 23:10:38.729891
0.05428858711559196,1313.509291160547,"1**2 + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=1)",1710,"{'outer': 5, 'kernels': 6, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': 1**2 + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=1)}",2020-10-18 23:11:56.348673
6.547862583087485,-369198727.75814265,RBF(length_scale=1),1710,"{'outer': 5, 'kernels': 6, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': RBF(length_scale=1)}",2020-10-18 23:11:59.531707
0.05566280352028974,1288.965129301971,1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),1710,"{'outer': 5, 'kernels': 6, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1)}",2020-10-18 23:12:33.037204
0.05580299968147514,1328.7992128981514,"1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1)",1710,"{'outer': 5, 'kernels': 6, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': 1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1)}",2020-10-18 23:13:36.153434
0.055690994939842996,1317.508798795418,"1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=1)",1710,"{'outer': 5, 'kernels': 6, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=1)}",2020-10-18 23:14:22.741572
0.05583626489638529,1333.4129941515748,"1**2 + 1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1)",1710,"{'outer': 5, 'kernels': 6, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': 1**2 + 1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1)}",2020-10-18 23:15:28.764650
0.05577696620247243,1328.4037711025212,"1**2 + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=1)",1710,"{'outer': 5, 'kernels': 6, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': 1**2 + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=1)}",2020-10-18 23:16:34.798517
5.802827661153877,-447091697.20987177,RBF(length_scale=1),1710,"{'outer': 5, 'kernels': 6, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': RBF(length_scale=1)}",2020-10-18 23:16:38.530997
0.055214078190595206,1284.4421994504578,1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),1710,"{'outer': 5, 'kernels': 6, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1)}",2020-10-18 23:17:14.737287
0.054713789811513015,1313.9863886373064,"1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1)",1710,"{'outer': 5, 'kernels': 6, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': 1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1)}",2020-10-18 23:18:09.016094
0.054828198003892104,1304.9976384655274,"1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=1)",1710,"{'outer': 5, 'kernels': 6, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=1)}",2020-10-18 23:19:07.036882
0.054675809286043514,1316.767040999523,"1**2 + 1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1)",1710,"{'outer': 5, 'kernels': 6, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': 1**2 + 1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1)}",2020-10-18 23:20:27.467405
0.054755300385507376,1312.2262078417311,"1**2 + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=1)",1710,"{'outer': 5, 'kernels': 6, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': 1**2 + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=1)}",2020-10-18 23:21:45.442905
5.619624005315729,-489713924.8056052,RBF(length_scale=1),1710,"{'outer': 5, 'kernels': 6, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': RBF(length_scale=1)}",2020-10-18 23:21:49.100007
0.0548231579289493,1265.691497504216,1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),1710,"{'outer': 5, 'kernels': 6, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1)}",2020-10-18 23:22:23.773958
0.05454212455006637,1299.1829788147293,"1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1)",1710,"{'outer': 5, 'kernels': 6, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': 1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1)}",2020-10-18 23:23:29.047998
0.05459698192778606,1289.6894343182112,"1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=1)",1710,"{'outer': 5, 'kernels': 6, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=1)}",2020-10-18 23:24:17.122657
0.05449809081498472,1303.1614117686995,"1**2 + 1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1)",1710,"{'outer': 5, 'kernels': 6, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': 1**2 + 1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1)}",2020-10-18 23:25:31.308813
0.0545710070180803,1299.1199828831432,"1**2 + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=1)",1710,"{'outer': 5, 'kernels': 6, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': 1**2 + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=1)}",2020-10-18 23:26:34.689564
7.372038284824125,-457548962.71587914,RBF(length_scale=1),1710,"{'outer': 5, 'kernels': 6, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': RBF(length_scale=1)}",2020-10-18 23:26:37.803487
0.05520348533970356,1302.9925023044461,1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),1710,"{'outer': 5, 'kernels': 6, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1)}",2020-10-18 23:27:08.304048
0.05496574819465779,1334.210597768153,"1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1)",1710,"{'outer': 5, 'kernels': 6, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': 1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1)}",2020-10-18 23:27:59.004487
0.05502393379098078,1324.9328000645328,"1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=1)",1710,"{'outer': 5, 'kernels': 6, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=1)}",2020-10-18 23:28:49.103158
0.05495983521949686,1337.4423964772968,"1**2 + 1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1)",1710,"{'outer': 5, 'kernels': 6, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': 1**2 + 1**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1)}",2020-10-18 23:29:56.539617
0.05499809467946961,1333.231530935856,"1**2 + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=1)",1710,"{'outer': 5, 'kernels': 6, 'inner': 3}","{'use_skit_learn': True, 'use_nystrom': False, 'use_fitc': False, 'model_preprocess_left_frac': 1.0, 'kernel': 1**2 + 1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=1)}",2020-10-18 23:31:05.113725
